year,county_name,total_participants,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90_99,age_100_plus
2020,Autauga,27681,3701,4051,4619,5512,5047,3277,1321,153,0
2024,Autauga,28401,3600,3991,4631,5223,5428,3710,1584,231,3
2020,Bibb,8797,1320,1231,1393,1772,1551,1069,399,58,4
2024,Bibb,9283,1275,1211,1323,1737,1787,1355,527,66,2
2020,Blount,27694,3774,3705,4237,5269,5290,3852,1361,191,15
2024,Blount,28255,3914,3800,4195,5005,5324,4222,1572,216,7
2020,Calhoun,51304,6473,6703,7590,9407,10488,7452,2749,429,13
2024,Calhoun,48732,5991,5948,7119,8161,9857,8205,2958,477,16
2020,Chambers,15481,1813,1842,2191,2942,3283,2425,817,161,7
2024,Chambers,13687,1508,1573,1729,2478,2902,2466,874,154,3
2020,Cherokee,12408,1453,1291,1637,2364,2635,2198,751,78,1
2024,Cherokee,12528,1325,1323,1506,2279,2841,2278,867,109,0
2020,Chilton,19135,2512,2542,2975,3550,3860,2635,906,148,7
2024,Chilton,19765,2645,2669,2915,3462,3907,2946,1076,140,5
2020,Clay,6949,859,768,1053,1351,1390,1058,412,57,1
2024,Clay,6737,797,710,931,1259,1418,1101,456,64,1
2020,Cleburne,7243,844,971,1101,1400,1474,1010,368,71,4
2024,Cleburne,7676,952,986,1129,1428,1529,1145,448,59,0
2020,Coffee,22393,2574,2911,3744,4261,4260,3173,1248,217,5
2024,Coffee,22364,2506,2653,3604,4137,4277,3537,1380,260,10
2020,Colbert,28003,3499,3731,3999,5356,5623,3981,1568,234,12
2024,Colbert,27264,3218,3628,3817,4683,5565,4347,1736,266,4
2020,Coosa,5496,516,570,726,1127,1284,919,291,59,4
2024,Coosa,5265,450,520,621,1029,1274,984,329,57,1
2020,Covington,17530,1918,2176,2440,3161,3716,2759,1162,189,9
2024,Covington,17113,1865,2049,2399,2825,3564,2973,1235,199,4
2020,Cullman,41978,5324,5824,6374,7792,7994,5995,2352,317,6
2024,Cullman,43318,5522,5961,6258,7480,8429,6604,2685,374,5
2020,Dale,18808,2193,2331,2760,3515,3966,2738,1114,184,7
2024,Dale,19177,2083,2269,2701,3307,4133,3191,1278,212,3
2020,DeKalb,29408,4019,3736,4521,5469,5764,4260,1446,191,2
2024,DeKalb,29709,4026,3877,4242,5197,5780,4647,1723,215,2
2020,Elmore,41214,5013,5817,6446,8053,8248,5478,1893,255,11
2024,Elmore,41787,4885,5534,6212,7494,8671,6334,2349,301,7
2020,Etowah,47462,5845,5831,7174,8877,9347,7323,2634,425,6
