year,county_name,contest_type,district_number,contest_title,result_type,party,candidate,total_votes,source_file
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,19838,2020-General-Autauga.xls
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,350,2020-General-Autauga.xls
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,7503,2020-General-Autauga.xls
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,30,2020-General-Autauga.xls
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,57,2020-General-Autauga.xls
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,79,2020-General-Autauga.xls
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,REP,Barry Moore,20081,2020-General-Autauga.xls
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",candidate,DEM,Phyllis Harvey-Hall,7357,2020-General-Autauga.xls
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",overvote,,Over Votes,15,2020-General-Autauga.xls
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",undervote,,Under Votes,356,2020-General-Autauga.xls
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",write_in,NON,Write-In,39,2020-General-Autauga.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,7525,2020-General-Bibb.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,74,2020-General-Bibb.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,1986,2020-General-Bibb.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,15,2020-General-Bibb.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,20,2020-General-Bibb.xls
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,10,2020-General-Bibb.xls
2020,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,7744,2020-General-Bibb.xls
2020,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2020-General-Bibb.xls
2020,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,1787,2020-General-Bibb.xls
2020,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,93,2020-General-Bibb.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,24711,2020-General-Blount.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,209,2020-General-Blount.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,2640,2020-General-Blount.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,32,2020-General-Blount.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,43,2020-General-Blount.xls
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,28,2020-General-Blount.xls
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,DEM,Rick Neighbors,189,2020-General-Blount.xls
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",candidate,REP,Robert Aderholt,1930,2020-General-Blount.xls
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,0,2020-General-Blount.xls
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,38,2020-General-Blount.xls
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,3,2020-General-Blount.xls
2020,Blount,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",candidate,REP,Gary Palmer,22877,2020-General-Blount.xls
2020,Blount,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",overvote,,Over Votes,5,2020-General-Blount.xls
2020,Blount,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",undervote,,Under Votes,2465,2020-General-Blount.xls
2020,Blount,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",write_in,NON,Write-In,146,2020-General-Blount.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,35101,2020-General-Calhoun.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,553,2020-General-Calhoun.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,15216,2020-General-Calhoun.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,73,2020-General-Calhoun.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,89,2020-General-Calhoun.xls
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,113,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,14389,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,36137,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,40,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,533,2020-General-Calhoun.xls
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,46,2020-General-Calhoun.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,8753,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,141,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,DEM,Joseph R. Biden,6365,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,overvote,,Over Votes,20,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,undervote,,Under Votes,28,2020-General-Chambers.xls
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,write_in,NON,Write-In,25,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,DEM,Adia Winfrey,6091,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",candidate,REP,Mike Rogers,8989,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",overvote,,Over Votes,14,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",undervote,,Under Votes,228,2020-General-Chambers.xls
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",write_in,NON,Write-In,10,2020-General-Chambers.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,REP,Donald J. Trump,10583,2020-General-Cherokee.xls
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,candidate,IND,Jo Jorgensen,82,2020-General-Cherokee.xls
