year,county_name,cvap_est_total,cvap_est_american_indian,cvap_est_asian,cvap_est_black,cvap_est_white,cvap_est_two_or_more,cvap_est_hispanic
2020,Autauga,41960,395,530,8135,31990,95,840
2024,Autauga,45205,422,639,9392,33452,113,1199
2020,Bibb,17585,70,59,4000,13220,10,230
2024,Bibb,17349,158,210,3668,13105,9,199
2020,Blount,42980,505,80,610,39595,80,2050
2024,Blount,43938,585,122,744,40154,88,2218
2020,Calhoun,88120,875,650,18140,66130,215,1845
2024,Calhoun,89451,842,843,19881,65598,152,2077
2020,Chambers,26115,170,135,10330,15135,0,335
2024,Chambers,26687,621,48,10256,15290,63,428
2020,Cherokee,20670,305,29,990,19210,0,140
2024,Cherokee,20400,323,38,1015,18787,6,243
2020,Chilton,32450,95,85,3580,27725,45,970
2024,Chilton,33573,258,200,3511,28061,0,1541
2020,Clay,10435,8,25,1583,8650,0,180
2024,Clay,11167,102,22,1539,9180,19,299
2020,Cleburne,11445,120,35,390,10770,4,125
2024,Cleburne,11986,100,17,563,11101,53,155
2020,Coffee,38935,930,430,7035,28515,55,2105
2024,Coffee,40299,843,761,7082,29056,130,2458
2020,Colbert,43015,600,215,6970,34485,40,655
2024,Colbert,45275,587,347,7306,36021,82,941
2020,Coosa,8880,109,0,2689,5945,10,130
2024,Coosa,8478,102,50,2481,5815,3,33
2020,Covington,28885,410,110,3535,24460,10,370
2024,Covington,29075,384,150,3581,24547,25,392
2020,Cullman,63620,835,275,900,60220,100,1295
2024,Cullman,69002,923,449,999,64912,41,1677
2020,Dale,37290,600,470,7675,26750,20,1840
2024,Dale,37335,595,608,7728,26395,144,1914
2020,DeKalb,49880,1410,195,905,45440,60,1845
2024,DeKalb,50738,1581,226,978,44567,56,3327
2020,Elmore,62405,600,460,13270,47185,25,905
2024,Elmore,69281,624,700,15209,51410,72,1292
2020,Etowah,79100,845,440,12315,64070,45,1390
2024,Etowah,78946,943,652,12205,63305,91,1791
2020,Fayette,12900,130,55,1635,11060,0,35
2024,Fayette,12643,119,2,1571,10738,58,129
2020,Franklin,21955,175,19,1000,18995,10,1755
2024,Franklin,21960,258,63,1055,18483,3,2103
2020,Geneva,20405,340,14,2005,17480,4,555
2024,Geneva,20708,363,134,1926,17525,79,672
2020,Henry,13520,70,39,3635,9505,0,270
2024,Henry,13965,168,38,3499,10033,57,199
2020,Houston,79825,810,720,20835,55885,110,1500
2024,Houston,81549,926,866,21419,56140,195,2048
2020,Jackson,40445,1325,155,1450,36960,10,505
2024,Jackson,41510,1400,185,1523,37668,58,740
2020,Jefferson,493615,3240,6110,213540,263990,645,6695
2024,Jefferson,495652,3187,7250,216160,258583,1351,9641
2020,Lamar,10730,109,24,1139,9380,0,75
2024,Lamar,10616,85,0,1172,9228,1,141
2020,Lauderdale,73355,660,360,7335,63895,15,1040
2024,Lauderdale,75606,743,580,7742,65269,103,1150
2020,Lawrence,25620,2375,65,2979,19955,0,245
2024,Lawrence,25822,2538,118,2849,19907,54,418
2020,Lee,123725,845,2015,28520,88710,240,3440
2024,Lee,135079,949,2886,30955,96362,250,3721
2020,Limestone,73535,1010,975,10665,58485,20,2390
2024,Limestone,84351,1163,1274,12893,65110,334,3559
2020,Madison,278650,4245,6545,69385,190265,790,7610
2024,Madison,306802,5550,7333,76987,203959,1445,12739
2020,Marion,23370,210,40,995,21775,25,325
2024,Marion,22873,226,80,963,21133,8,445
2020,Marshall,67130,994,415,1634,60930,35,3095
2024,Marshall,69423,1094,539,1837,60903,20,5049
2020,Morgan,88340,1600,630,11495,72045,50,2520
2024,Morgan,90880,1759,616,12168,72483,142,3882
2020,Pickens,15450,105,20,6230,8865,0,230
2024,Pickens,14657,129,12,6032,8236,47,230
2020,Randolph,17755,190,80,3405,13810,4,265
2024,Randolph,17664,654,94,2821,13749,7,337
2020,Shelby,160210,1035,2905,21100,130680,145,4370
2024,Shelby,171593,1342,3782,25032,134831,166,6616
2020,St. Clair,68050,610,605,6670,59370,25,755
2024,St. Clair,72531,627,677,7683,61780,329,1390
2020,Talladega,62270,525,305,20410,40315,65,655
2024,Talladega,63345,1942,404,19458,40820,91,714
2020,Tallapoosa,31730,230,120,8165,22850,65,300
2024,Tallapoosa,32188,776,79,7691,23257,41,361
2020,Tuscaloosa,160420,980,1645,50520,104485,170,2725
2024,Tuscaloosa,182501,2590,2198,56174,116304,215,5071
2020,Walker,49140,540,190,3025,44890,40,480
2024,Walker,49379,492,183,3023,44783,164,743
2020,Winston,18605,270,70,160,17890,15,180
2024,Winston,18453,292,72,121,17640,90,262
