year,county_name,contest_type,district_number,contest_title,candidate_votes,overvotes,undervotes,contest_ballots
2020,Autauga,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,27770,30,57,27857
2020,Autauga,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",27477,15,356,27848
2020,Bibb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,9595,15,20,9630
2020,Bibb,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",7837,0,1787,9624
2020,Blount,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,27588,32,43,27663
2020,Blount,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",2122,0,38,2160
2020,Blount,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",23023,5,2465,25493
2020,Calhoun,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,50983,73,89,51145
2020,Calhoun,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",50572,40,533,51145
2020,Chambers,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,15284,20,28,15332
2020,Chambers,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",15090,14,228,15332
2020,Cherokee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,12301,25,20,12346
2020,Cherokee,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",11366,5,166,11537
2020,Cherokee,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",801,1,7,809
2020,Chilton,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,19310,18,38,19366
2020,Chilton,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",16228,0,3138,19366
2020,Clay,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,6930,10,16,6956
2020,Clay,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",6862,1,94,6957
2020,Cleburne,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,7227,18,10,7255
2020,Cleburne,us_house,3,"UNITED STATES REPRESENTATIVE, 3RD CONGRESSIONAL DISTRICT",7140,1,113,7254
2020,Coffee,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,22275,21,43,22339
2020,Coffee,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",22101,11,223,22335
2020,Colbert,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,27886,38,60,27984
2020,Colbert,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",27486,18,480,27984
2020,Coosa,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,5479,2,13,5494
2020,Coosa,us_house,6,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",3835,2,1655,5492
2020,Covington,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,17430,29,32,17491
2020,Covington,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",17152,9,330,17491
2020,Cullman,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,41851,62,70,41983
2020,Cullman,us_house,4,"UNITED STATES REPRESENTATIVE, 4TH CONGRESSIONAL DISTRICT",41522,6,457,41985
2020,Dale,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,19738,45,31,19814
2020,Dale,us_house,2,"UNITED STATES REPRESENTATIVE, 2ND CONGRESSIONAL DISTRICT",19494,26,288,19808
2020,DeKalb,president,,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,29356,35,60,29451
