year,county_name,total_participants,female_votes,male_votes,gender_not_identified
2020,Autauga,27681,15245,12310,126
2024,Autauga,28401,15750,12581,82
2020,Bibb,8797,4801,3989,7
2024,Bibb,9283,5017,4264,2
2020,Blount,27694,14749,12935,10
2024,Blount,28255,15026,13213,16
2020,Calhoun,51304,28296,22881,127
2024,Calhoun,48732,27074,21581,77
2020,Chambers,15481,8722,6725,34
2024,Chambers,13687,7725,5936,26
2020,Cherokee,12408,6507,5897,4
2024,Cherokee,12528,6627,5898,3
2020,Chilton,19135,10361,8751,23
2024,Chilton,19765,10778,8970,17
2020,Clay,6949,3714,3232,3
2024,Clay,6737,3566,3160,11
2020,Cleburne,7243,3790,3450,3
2024,Cleburne,7676,4030,3641,5
2020,Coffee,22393,12132,10248,13
2024,Coffee,22364,12139,10199,26
2020,Colbert,28003,15290,12689,24
2024,Colbert,27264,14963,12248,53
2020,Coosa,5496,2954,2542,0
2024,Coosa,5265,2791,2472,2
2020,Covington,17530,9638,7880,12
2024,Covington,17113,9377,7725,11
2020,Cullman,41978,22368,19605,5
2024,Cullman,43318,23004,20297,17
2020,Dale,18808,10412,8387,9
2024,Dale,19177,10543,8624,10
2020,DeKalb,29408,15512,13886,10
2024,DeKalb,29709,15909,13791,9
2020,Elmore,41214,22660,18518,36
2024,Elmore,41787,23109,18639,39
2020,Etowah,47462,26052,21385,25
2024,Etowah,45822,25210,20571,41
2020,Fayette,8831,4678,4153,0
2024,Fayette,8398,4473,3925,0
2020,Franklin,12689,6747,5942,0
2024,Franklin,12167,6514,5652,1
2020,Geneva,12584,6798,5786,0
2024,Geneva,12395,6641,5753,1
2020,Henry,9385,5111,4268,6
2024,Henry,9298,5074,4216,8
2020,Houston,46620,26174,20384,62
2024,Houston,44563,24898,19638,27
2020,Jackson,23805,12505,11298,2
2024,Jackson,23668,12491,11163,14
2020,Jefferson,328288,189647,138478,163
2024,Jefferson,299196,174630,124453,113
2020,Lamar,7245,3867,3378,0
2024,Lamar,6915,3683,3231,1
2020,Lauderdale,44522,24182,20283,57
2024,Lauderdale,42188,23008,19135,45
2020,Lawrence,16053,8517,7529,7
2024,Lawrence,16059,8530,7518,11
2020,Lee,71382,39258,31889,235
2024,Lee,73628,40964,32511,153
2020,Limestone,49401,26392,22995,14
2024,Limestone,53584,28747,24817,20
2020,Madison,195459,105204,90023,232
2024,Madison,198145,107214,90727,204
2020,Marion,13883,7391,6489,3
2024,Marion,13602,7230,6362,10
2020,Marshall,39861,21168,18674,19
2024,Marshall,40472,21641,18813,18
2020,Morgan,54060,29503,24550,7
2024,Morgan,53681,29193,24472,16
2020,Pickens,9731,5512,4192,27
2024,Pickens,8924,5038,3870,16
2020,Randolph,10912,5942,4968,2
2024,Randolph,11145,6055,5077,13
2020,Shelby,114812,62949,51770,93
2024,Shelby,115155,63794,51272,89
2020,St. Clair,44574,24176,20388,10
2024,St. Clair,43894,24080,19797,17
2020,Talladega,35750,20099,15622,29
2024,Talladega,33886,19182,14673,31
2020,Tallapoosa,21120,11713,9403,4
2024,Tallapoosa,20155,11150,8994,11
2020,Tuscaloosa,90189,50632,39427,130
2024,Tuscaloosa,85380,48497,36790,93
2020,Walker,31254,16739,14474,41
2024,Walker,29843,16062,13749,32
2020,Winston,11269,5970,5289,10
2024,Winston,11153,5929,5215,9
