year,county_name,total_participants,total_asian,total_american_indian,total_black,total_federally_registered,total_hispanic,total_korean,total_other,total_not_identified,total_white
2020,Autauga,27681,158,54,5091,0,189,0,184,120,21885
2024,Autauga,28401,164,46,5114,0,225,0,205,76,22571
2020,Bibb,8797,6,18,1422,0,25,0,12,14,7300
2024,Bibb,9283,6,12,1239,0,35,0,19,25,7947
2020,Blount,27694,53,61,299,1,475,1,116,43,26645
2024,Blount,28255,70,48,321,1,572,0,128,47,27068
2020,Calhoun,51304,232,119,9540,1,430,0,339,253,40390
2024,Calhoun,48732,192,79,8243,0,478,0,376,174,39190
2020,Chambers,15481,47,20,5636,0,42,0,64,60,9612
2024,Chambers,13687,38,17,4468,0,51,0,54,42,9017
2020,Cherokee,12408,22,26,454,0,28,0,16,11,11851
2024,Cherokee,12528,22,27,378,0,35,0,37,13,12016
2020,Chilton,19135,37,33,1775,3,204,0,80,32,16971
2024,Chilton,19765,50,37,1538,2,223,0,85,30,17800
2020,Clay,6949,12,20,851,0,32,0,26,13,5995
2024,Clay,6737,14,10,654,0,31,0,27,20,5981
2020,Cleburne,7243,9,9,194,0,22,0,15,21,6973
2024,Cleburne,7676,16,5,152,0,36,0,23,13,7431
2020,Coffee,22393,171,93,3169,0,409,1,389,160,18001
2024,Coffee,22364,197,93,2773,0,457,1,378,108,18357
2020,Colbert,28003,91,62,4455,0,128,0,222,106,22939
2024,Colbert,27264,90,56,3786,0,172,0,225,113,22822
2020,Coosa,5496,12,9,1569,0,10,0,17,6,3873
2024,Coosa,5265,7,9,1261,0,14,0,21,4,3949
2020,Covington,17530,49,39,1670,0,60,0,55,43,15614
2024,Covington,17113,53,29,1390,0,63,0,64,37,15477
2020,Cullman,41978,133,66,362,1,283,0,91,101,40941
2024,Cullman,43318,150,65,314,0,400,0,132,98,42159
2020,Dale,18808,97,51,3242,0,274,0,238,107,14799
2024,Dale,19177,104,55,3014,0,297,0,234,76,15397
2020,DeKalb,29408,63,223,412,0,697,0,113,50,27850
2024,DeKalb,29709,59,207,366,0,811,0,61,37,28168
2020,Elmore,41214,158,92,7175,0,255,0,221,138,33175
2024,Elmore,41787,145,71,6727,0,312,0,223,103,34206
2020,Etowah,47462,188,89,6403,0,307,0,128,145,40202
2024,Etowah,45822,160,74,5365,0,374,0,204,150,39495
2020,Fayette,8831,7,14,893,0,21,0,20,12,7864
2024,Fayette,8398,7,12,766,0,19,0,22,9,7563
2020,Franklin,12689,14,27,459,3,425,0,38,2,11721
2024,Franklin,12167,19,19,386,0,439,0,22,8,11274
2020,Geneva,12584,23,63,919,0,93,0,28,17,11441
2024,Geneva,12395,26,53,764,0,112,0,43,15,11382
2020,Henry,9385,12,13,2207,0,43,0,29,20,7061
2024,Henry,9298,12,16,1850,0,41,0,39,17,7323
2020,Houston,46620,268,107,9227,1,400,0,242,248,36127
2024,Houston,44563,269,93,7796,1,485,0,284,153,35482
2020,Jackson,23805,61,242,706,0,135,0,38,47,22576
2024,Jackson,23668,60,182,581,0,150,0,88,41,22566
2020,Jefferson,328288,2545,376,131379,933,2598,2,2062,1606,186787
2024,Jefferson,299196,2173,289,116324,505,2651,0,2569,989,173696
2020,Lamar,7245,5,1,657,0,16,0,15,5,6546
2024,Lamar,6915,3,3,558,0,10,0,18,5,6318
2020,Lauderdale,44522,146,102,3823,0,276,0,199,156,39820
2024,Lauderdale,42188,151,104,3068,0,282,0,209,101,38273
2020,Lawrence,16053,25,408,1971,0,62,0,126,17,13444
2024,Lawrence,16059,31,287,1642,0,103,0,106,16,13874
2020,Lee,71382,834,105,15372,2,737,4,681,548,53099
2024,Lee,73628,800,102,14338,1,835,2,827,332,56391
2020,Limestone,49401,420,153,6430,0,727,3,414,333,40921
2024,Limestone,53584,551,118,6934,0,931,3,621,244,44182
2020,Madison,195459,3039,782,43274,1,3201,0,2289,1671,141202
2024,Madison,198145,2870,621,42305,1,3467,0,2702,1171,145008
2020,Marion,13883,26,32,339,0,55,0,24,27,13380
2024,Marion,13602,28,28,289,0,79,0,28,28,13122
2020,Marshall,39861,112,116,494,1,774,0,132,114,38118
2024,Marshall,40472,140,108,479,1,990,0,174,92,38488
2020,Morgan,54060,181,228,5835,1,824,0,247,126,46618
2024,Morgan,53681,171,181,5240,0,983,0,280,101,46725
2020,Pickens,9731,16,5,3790,0,14,0,29,20,5857
2024,Pickens,8924,15,5,3233,0,24,0,28,14,5605
2020,Randolph,10912,15,10,1635,0,42,0,31,14,9165
2024,Randolph,11145,24,14,1382,,42,0,42,25,9616
2020,Shelby,114812,1130,162,14255,0,1465,0,862,715,96223
2024,Shelby,115155,1062,141,15242,0,1666,0,1203,465,95376
2020,St. Clair,44574,139,64,3898,0,239,0,182,119,39933
2024,St. Clair,43894,169,39,4132,0,293,1,213,67,38980
2020,Talladega,35750,95,52,10890,1,116,0,136,81,24379
2024,Talladega,33886,99,44,9342,1,139,0,134,76,24051
2020,Tallapoosa,21120,41,30,4588,0,65,0,57,36,16303
2024,Tallapoosa,20155,38,25,3803,0,74,0,72,41,16102
2020,Tuscaloosa,90189,453,104,25760,1,614,2,638,430,62187
2024,Tuscaloosa,85380,461,97,23461,1,645,1,612,243,59859
2020,Walker,31254,62,50,1785,0,99,0,206,46,29006
2024,Walker,29843,51,31,1574,0,116,0,174,36,27861
2020,Winston,11269,19,21,38,0,50,1,19,19,11102
2024,Winston,11153,20,19,38,0,51,0,26,19,10980
