GEOID,NAME,STATE,COUNTY,C_TOT20,CTOTMOE,C_NHS20,CNHSMOE,C_AIA20,CAIAMOE,C_ASN20,CASNMOE,C_BLK20,CBLKMOE,C_NHP20,CNHPMOE,C_WHT20,CWHTMOE,C_AIW20,CAIWMOE,C_ASW20,CASWMOE,C_BLW20,CBLWMOE,C_AIB20,CAIBMOE,C_2OM20,C2OMMOE,C_HSP20,CHSPMOE,CVAP_TOT20,CVAPTOTMOE,CVAP_NHS20,CVAPNHSMOE,CVAP_AIA20,CVAPAIAMOE,CVAP_ASN20,CVAPASNMOE,CVAP_BLK20,CVAPBLKMOE,CVAP_NHP20,CVAPNHPMOE,CVAP_WHT20,CVAPWHTMOE,CVAP_AIW20,CVAPAIWMOE,CVAP_ASW20,CVAPASWMOE,CVAP_BLW20,CVAPBLWMOE,CVAP_AIB20,CVAPAIBMOE,CVAP_2OM20,CVAP2OMMOE,CVAP_HSP20,CVAPHSPMOE,ALL_TOT20,ALLTOTMOE,ALL_NHS20,ALLNHSMOE,ALL_AIA20,ALLAIAMOE,ALL_ASN20,ALLASNMOE,ALL_BLK20,ALLBLKMOE,ALL_NHP20,ALLNHPMOE,ALL_WHT20,ALLWHTMOE,ALL_AIW20,ALLAIWMOE,ALL_ASW20,ALLASWMOE,ALL_BLW20,ALLBLWMOE,ALL_AIB20,ALLAIBMOE,ALL_2OM20,ALL2OMMOE,ALL_HSP20,ALLHSPMOE,VAP_TOT20,VAPTOTMOE,VAP_NHS20,VAPNHSMOE,VAP_AIA20,VAPAIAMOE,VAP_ASN20,VAPASNMOE,VAP_BLK20,VAPBLKMOE,VAP_NHP20,VAPNHPMOE,VAP_WHT20,VAPWHTMOE,VAP_AIW20,VAPAIWMOE,VAP_ASW20,VAPASWMOE,VAP_BLW20,VAPBLWMOE,VAP_AIB20,VAPAIBMOE,VAP_2OM20,VAP2OMMOE,VAP_HSP20,VAPHSPMOE,STATEFP,COUNTYFP
01001,"Autauga County, Alabama", Alabama,Autauga County,54975,318,53610,257,450,145.88,775,284.43,11235,411.66,0,29,41020,268,275,102,245,174,380,242,20,26,155,140,1365,170,41960,238,41120,167,395,121.66,530,162.01,8135,285.21,0,29,31990,144,260,93,85,78,175,155,20,26,95,108,840,172,55640,0,54040,0,450,145.88,895,246.07,11290,399.66,0,29,41275,29,275,102,245,174,380,242,20,26,155,140,1600,0,42495,50,41430,50,395,121.66,625,109.6,8190,272.0,0,29,32145,29,260,93,85,78,175,155,20,26,95,108,1065,0,01,001
01003,"Baldwin County, Alabama", Alabama,Baldwin County,214510,601,206765,432,2865,533.75,2490,485.97,19955,754.97,10,16,180715,382,1465,371,945,353,650,313,75,98,810,602,7745,447,167985,551,163550,379,2260,460.28,1540,313.27,14245,517.33,10,16,144995,340,1005,319,520,219,205,180,75,98,570,443,4435,400,218290,0,208340,0,2865,533.75,2980,498.51,19965,758.57,10,16,181780,29,1465,371,945,353,650,313,75,98,815,603,9945,0,171295,0,164900,0,2260,460.28,1960,307.6,14255,520.08,10,16,145905,29,1005,319,520,219,205,180,75,98,580,444,6395,0,01,003
01005,"Barbour County, Alabama", Alabama,Barbour County,24635,115,23790,57,250,124.02,55,49.24,12110,182.3,4,7,11390,27,75,66,10,20,20,24,95,84,85,98,845,110,19470,93,19060,48,220,103.1,45,37.74,9245,137.87,4,7,9565,26,75,66,10,20,20,24,65,48,50,51,405,88,25025,0,23915,0,250,124.02,140,28.28,12115,182.57,4,7,11420,23,75,66,10,20,25,26,95,84,85,98,1110,0,19805,30,19155,31,220,103.1,100,30.48,9250,138.24,4,7,9595,23,75,66,10,20,25,26,65,48,50,51,645,0,01,005
01007,"Bibb County, Alabama", Alabama,Bibb County,22165,67,21775,5,70,72.81,59,81.02,4985,114.32,0,23,16650,4,60,64,4,2,15,21,0,23,10,14,395,64,17585,65,17355,11,70,72.81,59,81.02,4000,113.51,0,23,13220,10,60,64,4,2,10,16,0,23,10,14,230,65,22375,0,21775,0,70,72.81,59,81.02,4985,114.32,0,23,16650,23,60,64,4,2,15,21,0,23,10,14,600,0,17790,0,17355,0,70,72.81,59,81.02,4000,113.51,0,23,13220,23,60,64,4,2,10,16,0,23,10,14,435,0,01,007
01009,"Blount County, Alabama", Alabama,Blount County,56320,324,52235,102,620,72.29,200,90.34,990,222.88,55,60,50270,75,570,52,35,40,225,147,0,29,100,76,4080,286,42980,313,40925,96,505,64.2,80,54.71,610,126.78,55,60,39595,75,455,40,20,28,65,68,0,29,80,70,2050,280,57755,0,52395,0,620,72.29,270,57.28,995,224.36,55,60,50350,29,570,52,35,40,225,147,0,29,100,76,5360,0,44385,85,41085,86,505,64.2,150,86.65,615,126.78,55,60,39675,29,455,40,20,28,65,68,0,29,80,70,3300,0,01,009
01011,"Bullock County, Alabama", Alabama,Bullock County,10085,79,9350,19,15,36.03,135,118.53,6980,142.56,0,19,2160,19,15,24,0,19,0,19,0,19,55,73,740,78,7810,190,7560,19,15,36.03,80,71.57,5525,80.61,0,19,1940,19,15,24,0,19,0,19,0,19,0,19,250,191,10175,0,9350,0,15,36.03,135,118.53,6980,142.56,0,19,2160,19,15,24,0,19,0,19,0,19,55,73,825,0,7895,147,7560,0,15,36.03,80,71.57,5525,80.61,0,19,1940,19,15,24,0,19,0,19,0,19,0,19,335,147,01,011
01013,"Butler County, Alabama", Alabama,Butler County,19445,65,19190,41,124,75.92,60,53.26,8884,108.87,0,19,10125,19,55,54,35,41,115,75,4,12,0,19,255,46,15080,100,14905,17,119,70.46,0,26.87,6564,53.11,0,19,8230,19,50,46,0,19,30,34,4,12,0,19,175,98,19725,0,19435,0,124,75.92,295,57.98,8894,108.16,0,19,10125,19,55,54,35,41,115,75,4,12,0,19,290,0,15325,147,15115,71,119,70.46,200,72.53,6569,49.56,0,19,8230,19,50,46,0,19,30,34,4,12,0,19,210,113,01,013
01015,"Calhoun County, Alabama", Alabama,Calhoun County,112800,277,109330,168,1070,131.31,1030,229.12,24805,476.37,325,133,81930,135,795,79,350,164,1025,292,90,69,260,160,3470,233,88120,262,86280,166,875,119.84,650,166.01,18140,309.49,325,133,66130,134,635,76,175,98,360,176,60,53,215,156,1845,213,114325,0,109920,0,1070,131.31,1285,247.23,24845,472.49,325,133,82205,29,795,79,365,164,1025,292,90,69,270,162,4405,0,89555,0,86860,0,875,119.84,895,162.11,18180,307.89,325,133,66410,29,635,76,185,102,360,176,60,53,230,159,2695,0,01,015
01017,"Chambers County, Alabama", Alabama,Chambers County,33000,138,32345,75,170,68.75,210,93.94,13515,169.6,10,17,18445,24,90,45,45,44,125,117,0,26,0,26,655,122,26115,114,25780,98,170,68.75,135,91.92,10330,74.68,4,26,15135,26,90,45,15,23,35,49,0,26,0,26,335,95,33425,0,32585,0,170,68.75,420,72.12,13520,168.19,10,17,18465,26,90,45,50,51,125,117,0,26,0,26,845,0,26480,67,26020,69,170,68.75,350,85.49,10340,74.68,4,26,15150,26,90,45,25,35,35,49,0,26,0,26,465,0,01,017
01019,"Cherokee County, Alabama", Alabama,Cherokee County,25675,227,25375,207,355,176.86,29,36.22,1365,162.5,0,23,23625,207,205,124,4,4,115,106,0,23,0,23,300,79,20670,239,20530,218,305,146.4,29,36.22,990,84.26,0,23,19210,208,205,123,4,4,40,51,0,23,0,23,140,80,26035,0,25605,0,355,176.86,29,36.22,1365,162.5,0,23,23855,23,205,124,4,4,115,106,0,23,0,23,430,0,21030,72,20760,73,305,146.4,29,36.22,990,84.26,0,23,19440,23,205,123,4,4,40,51,0,23,0,23,270,0,01,019
01021,"Chilton County, Alabama", Alabama,Chilton County,42805,396,40510,189,100,293.71,130,58.14,4925,542.54,0,26,35305,185,35,279,0,26,600,333,55,84,110,100,2300,311,32450,280,31480,54,95,247.64,85,46.87,3580,338.69,0,26,27725,31,30,230,0,26,215,182,55,84,45,55,970,281,44145,0,40725,0,100,293.71,200,60.84,4925,542.54,0,26,35455,26,35,279,0,26,600,333,55,84,110,100,3425,0,33585,28,31565,27,95,247.64,155,50.25,3580,338.69,0,26,27740,26,30,230,0,26,215,182,55,84,45,55,2025,0,01,021
01023,"Choctaw County, Alabama", Alabama,Choctaw County,12730,32,12665,74,23,30.56,50,52.8,5414,82.23,0,19,7180,30,4,15,30,42,4,6,15,22,4,12,70,62,10185,32,10130,61,23,32.71,50,52.8,4259,68.69,0,19,5810,30,4,19,30,42,4,3,15,22,0,19,55,48,12755,0,12685,62,23,30.56,55,53.41,5414,82.23,0,19,7200,19,4,15,30,42,4,6,15,22,4,12,70,62,10205,0,10150,47,23,32.71,55,53.41,4259,68.69,0,19,5830,19,4,19,30,42,4,3,15,22,0,19,55,48,01,023
01025,"Clarke County, Alabama", Alabama,Clarke County,23845,18,23705,124,70,61.1,110,45.61,11010,177.14,0,23,12520,23,50,48,20,28,100,88,0,23,0,23,140,124,18685,39,18610,75,50,50.18,84,43.32,8355,110.34,0,23,10120,23,30,33,4,14,65,58,0,23,0,23,75,61,23865,0,23725,123,70,61.1,130,38.9,11010,177.14,0,23,12520,23,50,48,20,28,100,88,0,23,0,23,140,124,18705,28,18630,67,50,50.18,99,32.2,8355,110.34,0,23,10120,23,30,33,4,14,65,58,0,23,0,23,75,61,01,025
01027,"Clay County, Alabama", Alabama,Clay County,13170,105,12855,32,8,20.86,25,38.95,2139,115.99,0,19,10695,29,4,7,0,19,95,73,4,5,0,19,315,108,10435,106,10255,28,8,20.86,25,38.95,1583,43.24,0,19,8650,29,4,7,0,19,4,9,4,5,0,19,180,108,13285,0,12875,0,8,20.86,35,41.59,2139,115.99,0,19,10705,19,4,7,0,19,95,73,4,5,0,19,410,0,10550,0,10275,0,8,20.86,35,41.59,1583,43.24,0,19,8660,19,4,7,0,19,4,9,4,5,0,19,275,0,01,027
01029,"Cleburne County, Alabama", Alabama,Cleburne County,14800,70,14535,43,120,45.2,39,56.32,540,86.91,0,19,13825,43,100,29,35,56,145,52,0,19,15,45,265,53,11445,74,11320,58,120,43.34,35,59.14,390,73.12,0,19,10770,43,100,29,35,56,0,19,0,19,4,8,125,43,14950,0,14570,0,120,45.2,39,56.32,540,86.91,0,19,13860,19,100,29,35,56,145,52,0,19,15,45,380,0,11580,37,11355,37,120,43.34,35,59.14,390,73.12,0,19,10805,19,100,29,35,56,0,19,0,19,4,8,225,0,01,029
