County,Total Ballots Cast,Total Asian,Total American Indian,Total Black,Total Federally-Registered,Total Hispanic,Total Korean,Total Other,Total White,Total Not Identified
2024 General Election Participation by Race,,,,,,,,,,
AUTAUGA,"28,401",164,46,"5,114",0,225,0,205,"22,571",76
BALDWIN,"122,501",667,390,"6,117",0,"1,361",0,740,"112,966",260
BARBOUR,"9,901",21,11,"3,773",0,50,0,27,"5,979",40
BIBB,"9,283",6,12,"1,239",0,35,0,19,"7,947",25
BLOUNT,"28,255",70,48,3 21,1,572,0,128,"27,068",47
BULLOCK,"4,105",5,2,"2,966",0,18,0,11,"1,099",4
BUTLER,"8,112",29,10,"2,998",0,18,0,28,"5,019",10
CALHOUN,"48,732",192,79,"8,243",0,478,0,376,"39,190",174
CHAMBERS,"13,687",38,17,"4,468",0,51,0,54,"9,017",42
CHEROKEE,"12,528",22,27,3 78,0,35,0,37,"12,016",13
CHILTON,"19,765",50,37,"1,538",2,223,0,85,"17,800",30
CHOCTAW,"6,645",2,2,"2,435",0,8,0,6,"4,180",12
CLARKE,"11,975",22,21,"4,749",0,20,0,26,"7,118",19
CLAY,"6,737",14,10,6 54,0,31,0,27,"5,981",20
CLEBURNE,"7,676",16,5,1 52,0,36,0,23,"7,431",13
COFFEE,"22,364",197,93,"2,773",0,457,1,378,"18,357",108
COLBERT,"27,264",90,56,"3,786",0,172,0,225,"22,822",113
CONECUH,"5,552",17,12,"2,175",0,17,0,17,"3,302",12
COOSA,"5,265",7,9,"1,261",0,14,0,21,"3,949",4
COVINGTON,"17,113",53,29,"1,390",0,63,0,64,"15,477",37
CRENSHAW,"6,493",10,23,"1,272",0,17,0,20,"5,139",12
CULLMAN,"43,318",150,65,3 14,0,400,0,132,"42,159",98
DALE,"19,177",104,55,"3,014",0,297,0,234,"15,397",76
DALLAS,"15,720",28,8,"10,418",1,13,0,35,"5,191",26
DEKALB,"29,709",59,207,3 66,0,811,0,61,"28,168",37
ELMORE,"41,787",145,71,"6,727",0,312,0,223,"34,206",103
ESCAMBIA,"15,005",22,301,"3,310",0,64,0,59,"11,237",12
ETOWAH,"45,822",160,74,"5,365",0,374,0,204,"39,495",150
FAYETTE,"8,398",7,12,7 66,0,19,0,22,"7,563",9
FRANKLIN,"12,167",19,19,3 86,0,439,0,22,"11,274",8
GENEVA,"12,395",26,53,7 64,0,112,0,43,"11,382",15
GREENE,"4,045",4,0,"3,175",0,12,0,7,8 35,12
HALE,"7,339",4,6,"3,803",0,17,0,26,"3,465",18
HENRY,"9,298",12,16,"1,850",0,41,0,39,"7,323",17
HOUSTON,"44,563",269,93,"7,796",1,485,0,284,"35,482",153
JACKSON,"23,668",60,182,5 81,0,150,0,88,"22,566",41
JEFFERSON,"299,196","2,173",289,"116,324",505,"2,651",0,"2,569","173,696",989
LAMAR,"6,915",3,3,5 58,0,10,0,18,"6,318",5
LAUDERDALE,"42,188",151,104,"3,068",0,282,0,209,"38,273",101
LAWRENCE,"16,059",31,287,"1,642",0,103,0,106,"13,874",16
LEE,"73,628",800,102,"14,338",1,835,2,827,"56,391",332
LIMESTONE,"53,584",551,118,"6,934",0,931,3,621,"44,182",244
LOWNDES,"5,705",8,2,"3,916",0,12,0,6,"1,751",10
MACON,"7,904",11,7,"6,097",1,26,0,49,"1,693",20
MADISON,"198,145","2,870",621,"42,305",1,"3,467",0,"2,702","145,008","1 ,171"
MARENGO,"9,708",13,4,"4,482",0,43,0,10,"5,148",8
MARION,"13,602",28,28,2 89,0,79,0,28,"13,122",28
MARSHALL,"40,472",140,108,4 79,1,990,0,174,"38,488",92
MOBILE,"176,426","1,527",547,"56,195",2,"1,381",0,"1,363","114,945",466
MONROE,"9,841",27,50,"3,582",0,13,0,25,"6,134",10
MONTGOMERY,"90,098",873,88,"51,925",0,715,1,774,"35,316",406
MORGAN,"53,681",171,181,"5,240",0,983,0,280,"46,725",101
PERRY,"4,496",2,2,"3,181",0,4,0,4,"1,301",2
PICKENS,"8,924",15,5,"3,233",0,24,0,28,"5,605",14
PIKE,"13,262",52,34,"4,211",0,59,0,68,"8,800",38
RANDOLPH,"11,145",24,14,"1,382",,42,0,42,"9,616",25
RUSSELL,"20,840",83,29,"9,217",1,329,0,240,"10,869",72
SHELBY,"115,155","1,062",141,"15,242",0,"1,666",0,"1,203","95,376",465
ST_CLAIR,"43,894",169,39,"4,132",0,293,1,213,"38,980",67
SUMTER,"5,335",4,9,"3,755",0,4,0,12,"1,547",4
TALLADEGA,"33,886",99,44,"9,342",1,139,0,134,"24,051",76
TALLAPOOSA,"20,155",38,25,"3,803",0,74,0,72,"16,102",41
TUSCALOOSA,"85,380",461,97,"23,461",1,645,1,612,"59,859",243
WALKER,"29,843",51,31,"1,574",0,116,0,174,"27,861",36
WASHINGTON,"8,463",9,338,"1,675",0,12,0,21,"6,404",4
WILCOX,"5,268",5,5,"3,477",0,4,0,1,"1,773",3
WINSTON,"11,153",20,19,38,0,51,0,26,"10,980",19
Totals,"2,269,116","1 4,232","5 ,472","5 11,534",519,"23,430",9,"16,607","1,690,359","6,954"
