year,county_name,registered_total,active_asian,active_american_indian,active_black,active_federally_registered,active_hispanic,active_korean,active_white,active_other,active_not_identified,active_total,inactive_asian,inactive_american_indian,inactive_black,inactive_federally_registered,inactive_hispanic,inactive_korean,inactive_white,inactive_other,inactive_not_identified,inactive_total
2020,Autauga,43482,269,89,7992,0,329,0,31619,298,285,40881,27,20,501,0,35,0,1933,55,30,2601
2024,Autauga,46518,293,71,8588,0,443,0,32171,388,184,42138,50,17,907,0,91,0,3182,62,71,4380
2020,Bibb,14992,11,29,2575,0,55,0,11627,23,31,14351,3,4,152,0,2,0,478,2,0,641
2024,Bibb,15161,14,19,2507,0,77,0,11676,38,43,14374,5,2,191,0,8,0,576,2,3,787
2020,Blount,41865,75,106,603,2,1083,1,38233,177,101,40381,6,7,29,0,33,0,1382,20,7,1484
2024,Blount,43611,105,75,712,1,1491,0,38724,195,106,41409,8,12,70,0,83,0,1994,24,11,2202
2020,Calhoun,81390,421,184,15518,2,819,0,58307,614,559,76424,33,24,1467,0,77,0,3228,92,45,4966
2024,Calhoun,84633,409,132,15508,0,1007,0,58834,782,480,77152,75,30,2108,1,128,0,4903,122,114,7481
2020,Chambers,25985,92,34,9857,0,107,0,14355,121,142,24708,13,3,536,0,5,0,701,10,9,1277
2024,Chambers,26877,89,33,9467,0,148,0,14118,131,131,24117,30,3,1178,0,24,0,1480,21,24,2760
2020,Cherokee,19430,34,39,807,0,78,0,17556,27,32,18573,6,1,56,0,3,0,791,0,0,857
2024,Cherokee,21505,44,38,786,0,77,0,18357,76,53,19431,11,0,101,0,26,0,1926,2,8,2074
2020,Chilton,29874,60,53,2885,3,412,0,24341,159,90,28003,5,6,260,1,26,0,1555,14,4,1871
2024,Chilton,31595,83,57,2960,3,680,1,25717,177,92,29770,10,3,269,0,43,0,1470,16,14,1825
2020,Clay,10431,24,30,1386,0,69,0,8337,41,26,9913,0,3,119,0,16,0,377,3,0,518
2024,Clay,10645,24,19,1359,0,86,0,8470,55,52,10065,8,5,120,0,17,0,425,1,4,580
2020,Cleburne,11494,18,16,326,0,60,0,10097,20,30,10567,0,1,32,0,1,0,891,1,1,927
2024,Cleburne,12264,26,14,289,0,74,0,10538,44,28,11013,1,2,49,0,10,0,1182,2,5,1251
2020,Coffee,37095,270,146,5683,1,1011,1,26256,660,354,34382,25,7,543,0,93,1,1886,136,22,2713
2024,Coffee,39768,351,132,5596,0,1158,1,26819,659,291,35007,51,20,884,0,287,0,3265,148,106,4761
2020,Colbert,43545,130,99,6896,0,281,1,33829,361,224,41821,17,7,296,0,20,0,1337,42,5,1724
2024,Colbert,45308,140,87,6689,0,399,1,34060,388,314,42078,23,19,593,0,51,0,2465,39,40,3230
2020,Coosa,8375,13,19,2351,0,20,0,5464,30,14,7911,1,2,188,0,1,0,267,5,0,464
2024,Coosa,8385,10,16,2139,0,29,0,5574,41,14,7823,0,3,214,0,2,0,335,4,4,562
2020,Covington,28295,81,70,3213,1,130,0,22938,105,84,26622,10,9,236,0,10,0,1386,19,3,1673
2024,Covington,29459,102,49,3149,0,142,0,23224,126,91,26883,13,10,403,0,32,0,2086,19,13,2576
2020,Cullman,62597,199,121,630,2,571,0,57794,141,165,59623,13,7,50,1,33,0,2853,13,4,2974
2024,Cullman,66961,267,111,680,0,896,0,60479,233,192,62858,25,7,91,1,66,0,3868,19,26,4103
2020,Dale,35610,193,88,7027,2,768,0,24191,488,261,33018,13,17,505,1,92,0,1836,114,14,2592
2024,Dale,37270,219,80,6802,1,793,0,23645,502,183,32225,45,13,1139,1,273,0,3332,148,94,5045
2020,DeKalb,45089,100,354,785,0,1533,0,40104,176,104,43156,3,13,57,0,33,0,1809,15,3,1933
2024,DeKalb,48343,129,316,770,0,2327,0,41023,163,95,44823,18,25,142,0,132,0,3157,25,21,3520
2020,Elmore,60667,258,142,10955,0,466,0,45570,344,309,58044,13,15,554,0,31,0,1946,42,22,2623
2024,Elmore,63760,255,117,11427,0,604,0,46892,408,234,59937,27,18,881,0,55,0,2738,54,50,3823
2020,Etowah,75935,330,145,11034,0,703,0,59795,260,387,72654,17,13,763,0,53,0,2394,27,14,3281
2024,Etowah,77579,321,126,10392,0,996,0,58927,443,381,71586,59,19,1456,0,102,0,4233,60,64,5993
2020,Fayette,13017,16,18,1475,0,57,0,10910,47,26,12549,5,1,70,0,6,0,379,6,1,468
2024,Fayette,12909,20,18,1391,0,52,0,10693,53,19,12246,2,1,109,0,12,0,528,9,2,663
2020,Franklin,19656,29,47,825,5,861,0,17349,90,5,19211,1,2,24,0,32,0,382,1,3,445
2024,Franklin,20047,36,36,771,0,1170,0,16986,61,17,19077,5,6,62,0,55,0,836,3,3,970
2020,Geneva,20061,29,93,1703,0,218,0,16720,53,54,18870,2,14,141,0,31,0,994,8,1,1191
2024,Geneva,20853,39,78,1633,0,282,0,16727,87,41,18887,6,14,208,0,43,0,1662,14,19,1966
2020,Henry,14021,25,24,3673,0,78,0,9474,44,51,13369,1,0,196,0,11,0,436,6,2,652
2024,Henry,14825,36,26,3406,0,84,0,9993,82,54,13681,6,3,357,0,25,0,728,13,12,1144
2020,Houston,80141,435,186,18425,2,788,1,52760,434,720,73751,48,30,1964,2,114,0,4136,66,30,6390
2024,Houston,82686,493,161,18439,3,1037,0,52267,687,527,73614,67,33,2673,1,148,0,5923,93,134,9072
2020,Jackson,39525,92,389,1309,0,276,0,35062,89,119,37336,10,29,91,0,19,0,2027,6,7,2189
2024,Jackson,41129,105,272,1234,0,389,0,35522,199,100,37821,14,40,157,0,29,0,3026,16,26,3308
2020,Jefferson,504691,4427,655,200818,1354,4769,2,261754,3626,3407,480812,314,54,9474,121,313,0,13118,427,58,23879
2024,Jefferson,503340,4193,546,194838,709,6013,1,245707,5034,2595,459636,818,91,18032,33,692,1,22746,649,642,43704
2020,Lamar,11207,6,7,1175,0,41,0,9187,27,19,10462,0,1,113,0,4,0,624,1,2,745
2024,Lamar,11104,4,5,1100,0,35,0,9117,40,18,10319,1,2,121,0,8,0,645,5,3,785
2020,Lauderdale,68128,231,157,6040,0,525,0,56414,306,338,64011,26,22,631,0,43,0,3318,54,23,4117
2024,Lauderdale,70804,269,156,5720,0,616,0,56897,394,246,64298,34,19,972,0,100,0,5233,62,86,6506
2020,Lawrence,25357,33,566,2966,0,161,0,20520,186,69,24501,0,30,113,0,6,0,682,24,1,856
2024,Lawrence,26046,46,409,2745,0,250,0,21091,181,53,24775,8,24,171,0,16,0,1031,8,13,1271
2020,Lee,123705,1653,198,26557,3,1554,10,82311,1321,1259,114866,119,36,1786,0,183,1,6375,252,87,8839
2024,Lee,135062,1801,140,26089,1,1688,5,81589,1541,820,113674,447,57,4449,1,525,3,15123,386,397,21388
2020,Limestone,71273,627,217,8926,4,1252,3,56363,641,645,68678,24,10,309,0,58,0,2119,54,21,2595
2024,Limestone,82838,909,184,10440,1,1885,3,61792,995,518,76727,92,27,862,0,155,0,4789,88,98,6111
2020,Madison,302377,4613,1177,68009,1,5436,0,194043,3566,3005,279850,386,121,7834,0,510,0,12873,643,160,22527
